;;Catálogo de indicadores económicos disponibles a consultar;
Código;Código padre;Nombre;Descripción;Indicador;Periodicidad
1793;1588;                    Financiamiento Banco Central Costa Rica neto;Financiamiento Banco Central Costa Rica neto;E06.01.05.02.04.00.00.00.00.M.CRC                                     ;Mensual
1794;1588;                    Uso/acumulado caja;Uso/acumulado caja;E06.01.05.02.02.00.00.00.00.M.CRC                                     ;Mensual
1798;1588;                    Otras Amortizaciones;Otras Amortizaciones;E06.01.05.02.03.00.00.00.00.M.CRC                                     ;Mensual
681;;     Ingresos, gasto y financiamiento efectivo, Gobierno;Ingresos, gasto y financiamiento efectivo, Gobierno;E06.01.00.00.00.00.00.00.00.A.CRC                                     ;Anual
1684;681;          Ingresos totales del Gobierno Central;Ingresos totales del Gobierno Central;E06.01.01.00.00.00.00.00.00.A.CRC                                     ;Anual
1685;681;          Gastos totales del Gobierno Central;Gastos totales del Gobierno Central;E06.01.02.00.00.00.00.00.00.A.CRC                                     ;Anual
1818;681;          Resultado financiero del Gobierno Central;Resultado financiero del Gobierno Central;E06.01.04.00.00.00.00.00.00.A.CRC                                     ;Anual
2774;681;          Resultado financiero del Gobierno Central;Resultado financiero del Gobierno Central;E06.01.04.00.00.00.00.00.00.A.PRP                                     ;Anual
779;;     Producto Interno Bruto a precios de mercado, real;Producto Interno Bruto a precios de mercado, real;E04.01.00.00.00.00.00.00.00.A.CRQ                                     ;Anual
780;779;          Impuestos menos subvenciones sobre los productos, real;Impuestos menos subvenciones sobre los productos, real;E04.01.02.00.00.00.00.00.00.A.CRQ                                     ;Anual
781;780;               Impuesto sobre los productos y las importaciones, real;Impuesto sobre los productos y las importaciones, real;E04.01.02.01.00.00.00.00.00.A.CRQ                                     ;Anual
782;780;               Subvenciones a los productos, real;Subvenciones a los productos, real;E04.01.02.02.00.00.00.00.00.A.CRQ                                     ;Anual
2630;780;               Impuesto sobre los productos y las importaciones, real;Impuesto sobre los productos y las importaciones, real;E04.01.02.01.00.00.00.00.00.A.PPA                                     ;Anual
2631;780;               Subvenciones a los productos, real;Subvenciones a los productos, real;E04.01.02.02.00.00.00.00.00.A.PPA                                     ;Anual
2700;780;               Impuesto sobre los productos y las importaciones, real;Impuesto sobre los productos y las importaciones, real;E04.01.02.01.00.00.00.00.00.A.PVI                                     ;Anual
2701;780;               Subvenciones a los productos, real;Subvenciones a los productos, real;E04.01.02.02.00.00.00.00.00.A.PVI                                     ;Anual
2629;779;          Impuestos menos subvenciones sobre los productos, real;Impuestos menos subvenciones sobre los productos, real;E04.01.02.00.00.00.00.00.00.A.PPA                                     ;Anual
2632;779;          Producto Interno Bruto a precios básicos, real;Producto Interno Bruto a precios básicos, real;E04.01.03.00.00.00.00.00.00.A.PPA                                     ;Anual
2699;779;          Impuestos menos subvenciones sobre los productos, real;Impuestos menos subvenciones sobre los productos, real;E04.01.02.00.00.00.00.00.00.A.PVI                                     ;Anual
2702;779;          Producto Interno Bruto a precios básicos, real;Producto Interno Bruto a precios básicos, real;E04.01.03.00.00.00.00.00.00.A.PVI                                     ;Anual
2754;779;          Producto Interno Bruto y Gasto a precios de mercado, real;Producto Interno Bruto y Gasto a precios de mercado, real;E04.01.01.00.00.00.00.00.00.A.PPA                                     ;Anual
2755;779;          Producto Interno Bruto y Gasto a precios de mercado, real;Producto Interno Bruto y Gasto a precios de mercado, real;E04.01.01.00.00.00.00.00.00.A.PVI                                     ;Anual
22557;779;          Producto interno bruto a precios constandes per capita;Producto interno bruto a precios constandes per capita;E04.01.06.00.00.00.00.00.00.A.CRQ                                     ;Anual
22558;779;          Producto interno bruto a precios constandes per capita;Producto interno bruto a precios constandes per capita;E04.01.07.00.00.00.00.00.00.A.USC                                     ;Anual
783;;          Producto Interno Bruto a precios básicos, real;Producto Interno Bruto a precios básicos, real;E04.01.03.00.00.00.00.00.00.A.CRQ                                     ;Anual
784;783;               Agricultura, silvicultura y pesca, real;Agricultura, silvicultura y pesca, real;E04.01.03.01.00.00.00.00.00.A.CRQ                                     ;Anual
785;783;               Extracción de minas y canteras, real;Extracción de minas y canteras, real;E04.01.03.02.00.00.00.00.00.A.CRQ                                     ;Anual
787;783;               Construcción, real;Construcción, real;E04.01.03.04.00.00.00.00.00.A.CRQ                                     ;Anual
788;783;               Electricidad y agua, real;Electricidad y agua, real;E04.01.03.05.00.00.00.00.00.A.CRQ                                     ;Anual
789;783;               Comercio, restaurantes y hoteles, real;Comercio, restaurantes y hoteles, real;E04.01.03.06.00.00.00.00.00.A.CRQ                                     ;Anual
790;783;               Transporte, almacenaje y comunicaciones, real;Transporte, almacenaje y comunicaciones, real;E04.01.03.07.00.00.00.00.00.A.CRQ                                     ;Anual
791;783;               Servicios financieros y seguros, real;Servicios financieros y seguros, real;E04.01.03.08.00.00.00.00.00.A.CRQ                                     ;Anual
792;783;               Actividades inmobiliarias, real;Actividades inmobiliarias, real;E04.01.03.09.00.00.00.00.00.A.CRQ                                     ;Anual
793;783;               Otros servicios prestados a empresas, real;Otros servicios prestados a empresas, real;E04.01.03.10.00.00.00.00.00.A.CRQ                                     ;Anual
794;783;               Servicios de administración pública, real;Servicios de administración pública, real;E04.01.03.11.00.00.00.00.00.A.CRQ                                     ;Anual
795;783;               Servicios comunales, sociales y personales, real;Servicios comunales, sociales y personales, real;E04.01.03.12.00.00.00.00.00.A.CRQ                                     ;Anual
796;783;               Servicios de intermediación financiera medidos indirectament;Servicios de intermediación financiera medidos indirectamente, real;E04.01.03.13.00.00.00.00.00.A.CRQ                                     ;Anual
2633;783;               Agricultura, silvicultura y pesca, real;Agricultura, silvicultura y pesca, real;E04.01.03.01.00.00.00.00.00.A.PPA                                     ;Anual
2634;783;               Extracción de minas y canteras, real;Extracción de minas y canteras, real;E04.01.03.02.00.00.00.00.00.A.PPA                                     ;Anual
2635;783;               Industria manufacturera, real;Industria manufacturera, real;E04.01.03.03.00.00.00.00.00.A.PPA                                     ;Anual
2636;783;               Construcción, real;Construcción, real;E04.01.03.04.00.00.00.00.00.A.PPA                                     ;Anual
2637;783;               Electricidad y agua, real;Electricidad y agua, real;E04.01.03.05.00.00.00.00.00.A.PPA                                     ;Anual
2638;783;               Comercio, restaurantes y hoteles, real;Comercio, restaurantes y hoteles, real;E04.01.03.06.00.00.00.00.00.A.PPA                                     ;Anual
2639;783;               Transporte, almacenaje y comunicaciones, real;Transporte, almacenaje y comunicaciones, real;E04.01.03.07.00.00.00.00.00.A.PPA                                     ;Anual
2640;783;               Servicios financieros y seguros, real;Servicios financieros y seguros, real;E04.01.03.08.00.00.00.00.00.A.PPA                                     ;Anual
2641;783;               Actividades inmobiliarias, real;Actividades inmobiliarias, real;E04.01.03.09.00.00.00.00.00.A.PPA                                     ;Anual
2642;783;               Otros servicios prestados a empresas, real;Otros servicios prestados a empresas, real;E04.01.03.10.00.00.00.00.00.A.PPA                                     ;Anual
2643;783;               Servicios de administración pública, real;Servicios de administración pública, real;E04.01.03.11.00.00.00.00.00.A.PPA                                     ;Anual
2644;783;               Servicios comunales, sociales y personales, real;Servicios comunales, sociales y personales, real;E04.01.03.12.00.00.00.00.00.A.PPA                                     ;Anual
2645;783;               Servicios de intermediación financiera medidos indirectament;Servicios de intermediación financiera medidos indirectamente, real;E04.01.03.13.00.00.00.00.00.A.PPA                                     ;Anual
2703;783;               Agricultura, silvicultura y pesca, real;Agricultura, silvicultura y pesca, real;E04.01.03.01.00.00.00.00.00.A.PVI                                     ;Anual
2704;783;               Extracción de minas y canteras, real;Extracción de minas y canteras, real;E04.01.03.02.00.00.00.00.00.A.PVI                                     ;Anual
2705;783;               Industria manufacturera, real;Industria manufacturera, real;E04.01.03.03.00.00.00.00.00.A.PVI                                     ;Anual
2706;783;               Construcción, real;Construcción, real;E04.01.03.04.00.00.00.00.00.A.PVI                                     ;Anual
2707;783;               Electricidad y agua, real;Electricidad y agua, real;E04.01.03.05.00.00.00.00.00.A.PVI                                     ;Anual
2708;783;               Comercio, restaurantes y hoteles, real;Comercio, restaurantes y hoteles, real;E04.01.03.06.00.00.00.00.00.A.PVI                                     ;Anual
2709;783;               Transporte, almacenaje y comunicaciones, real;Transporte, almacenaje y comunicaciones, real;E04.01.03.07.00.00.00.00.00.A.PVI                                     ;Anual
2710;783;               Servicios financieros y seguros, real;Servicios financieros y seguros, real;E04.01.03.08.00.00.00.00.00.A.PVI                                     ;Anual
2711;783;               Actividades inmobiliarias, real;Actividades inmobiliarias, real;E04.01.03.09.00.00.00.00.00.A.PVI                                     ;Anual
2712;783;               Otros servicios prestados a empresas, real;Otros servicios prestados a empresas, real;E04.01.03.10.00.00.00.00.00.A.PVI                                     ;Anual
2713;783;               Servicios de administración pública, real;Servicios de administración pública, real;E04.01.03.11.00.00.00.00.00.A.PVI                                     ;Anual
2714;783;               Servicios comunales, sociales y personales, real;Servicios comunales, sociales y personales, real;E04.01.03.12.00.00.00.00.00.A.PVI                                     ;Anual
2715;783;               Servicios de intermediación financiera medidos indirectament;Servicios de intermediación financiera medidos indirectamente, real;E04.01.03.13.00.00.00.00.00.A.PVI                                     ;Anual
786;;               Industria manufacturera, real;Industria manufacturera, real;E04.01.03.03.00.00.00.00.00.A.CRQ                                     ;Anual
797;;          Producto Interno Bruto y Gasto a precios de mercado, real;Producto Interno Bruto y Gasto a precios de mercado, real;E04.01.01.00.00.00.00.00.00.A.CRQ                                     ;Anual
798;797;               Gasto de consumo final, real;Gasto de consumo final, real;E04.01.01.01.00.00.00.00.00.A.CRQ                                     ;Anual
799;798;                    Gasto de consumo final de los hogares, real;Gasto de consumo final de los hogares, real;E04.01.01.01.01.00.00.00.00.A.CRQ                                     ;Anual
800;798;                    Gasto de consumo final del Gobierno General, real;Gasto de consumo final del Gobierno General, real;E04.01.01.01.02.00.00.00.00.A.CRQ                                     ;Anual
2649;798;                    Gasto de consumo final de los hogares, real;Gasto de consumo final de los hogares, real;E04.01.01.01.01.00.00.00.00.A.PPA                                     ;Anual
2650;798;                    Gasto de consumo final del Gobierno General, real;Gasto de consumo final del Gobierno General, real;E04.01.01.01.02.00.00.00.00.A.PPA                                     ;Anual
2717;798;                    Gasto de consumo final de los hogares, real;Gasto de consumo final de los hogares, real;E04.01.01.01.01.00.00.00.00.A.PVI                                     ;Anual
2718;798;                    Gasto de consumo final del Gobierno General, real;Gasto de consumo final del Gobierno General, real;E04.01.01.01.02.00.00.00.00.A.PVI                                     ;Anual
801;797;               Formación bruta de capital, real;Formación bruta de capital, real;E04.01.01.02.00.00.00.00.00.A.CRQ                                     ;Anual
802;801;                    Formación bruta de capital fijo, real;Formación bruta de capital fijo, real;E04.01.01.02.01.00.00.00.00.A.CRQ                                     ;Anual
803;801;                    Variación de existencias, real;Variación de existencias, real;E04.01.01.02.02.00.00.00.00.A.CRQ                                     ;Anual
2652;801;                    Formación bruta de capital fijo, real;Formación bruta de capital fijo, real;E04.01.01.02.01.00.00.00.00.A.PPA                                     ;Anual
2653;801;                    Variación de existencias, real;Variación de existencias, real;E04.01.01.02.02.00.00.00.00.A.PPA                                     ;Anual
2720;801;                    Formación bruta de capital fijo, real;Formación bruta de capital fijo, real;E04.01.01.02.01.00.00.00.00.A.PVI                                     ;Anual
2721;801;                    Variación de existencias, real;Variación de existencias, real;E04.01.01.02.02.00.00.00.00.A.PVI                                     ;Anual
804;797;               Exportaciones de bienes y servicios, real;Exportaciones de bienes y servicios, real;E04.01.01.03.00.00.00.00.00.A.CRQ                                     ;Anual
805;804;                    Exportaciones de bienes FOB, real;Exportaciones de bienes FOB, real;E04.01.01.03.01.00.00.00.00.A.CRQ                                     ;Anual
806;804;                    Exportaciones de servicios, real;Exportaciones de servicios, real;E04.01.01.03.02.00.00.00.00.A.CRQ                                     ;Anual
2656;804;                    Exportaciones de bienes FOB, real;Exportaciones de bienes FOB, real;E04.01.01.03.01.00.00.00.00.A.PPA                                     ;Anual
2658;804;                    Exportaciones de servicios, real;Exportaciones de servicios, real;E04.01.01.03.02.00.00.00.00.A.PPA                                     ;Anual
2723;804;                    Exportaciones de bienes FOB, real;Exportaciones de bienes FOB, real;E04.01.01.03.01.00.00.00.00.A.PVI                                     ;Anual
2725;804;                    Exportaciones de servicios, real;Exportaciones de servicios, real;E04.01.01.03.02.00.00.00.00.A.PVI                                     ;Anual
807;797;               Importaciones de bienes y servicios, real;Importaciones de bienes y servicios, real;E04.01.01.04.00.00.00.00.00.A.CRQ                                     ;Anual
808;807;                    Importaciones de bienes FOB, real;Importaciones de bienes FOB, real;E04.01.01.04.01.00.00.00.00.A.CRQ                                     ;Anual
809;807;                    Importaciones de servicios, real;Importaciones de servicios, real;E04.01.01.04.02.00.00.00.00.A.CRQ                                     ;Anual
2660;807;                    Importaciones de bienes FOB, real;Importaciones de bienes FOB, real;E04.01.01.04.01.00.00.00.00.A.PPA                                     ;Anual
2661;807;                    Importaciones de servicios, real;Importaciones de servicios, real;E04.01.01.04.02.00.00.00.00.A.PPA                                     ;Anual
2727;807;                    Importaciones de bienes FOB, real;Importaciones de bienes FOB, real;E04.01.01.04.01.00.00.00.00.A.PVI                                     ;Anual
2728;807;                    Importaciones de servicios, real;Importaciones de servicios, real;E04.01.01.04.02.00.00.00.00.A.PVI                                     ;Anual
2648;797;               Gasto de consumo final, real;Gasto de consumo final, real;E04.01.01.01.00.00.00.00.00.A.PPA                                     ;Anual
2654;797;               Exportaciones de bienes y servicios, real;Exportaciones de bienes y servicios, real;E04.01.01.03.00.00.00.00.00.A.PPA                                     ;Anual
2659;797;               Importaciones de bienes y servicios, real;Importaciones de bienes y servicios, real;E04.01.01.04.00.00.00.00.00.A.PPA                                     ;Anual
2716;797;               Gasto de consumo final, real;Gasto de consumo final, real;E04.01.01.01.00.00.00.00.00.A.PVI                                     ;Anual
2722;797;               Exportaciones de bienes y servicios, real;Exportaciones de bienes y servicios, real;E04.01.01.03.00.00.00.00.00.A.PVI                                     ;Anual
2726;797;               Importaciones de bienes y servicios, real;Importaciones de bienes y servicios, real;E04.01.01.04.00.00.00.00.00.A.PVI                                     ;Anual
810;;     Producto Interno Bruto a precios de mercado, nominal;Producto Interno Bruto a precios de mercado, nominal;E04.02.00.00.00.00.00.00.00.A.CRC                                     ;Anual
811;810;          Impuestos menos subvenciones sobre los productos, nominal;Impuestos menos subvenciones sobre los productos, nominal;E04.02.02.00.00.00.00.00.00.A.CRC                                     ;Anual
812;811;               Impuesto sobre los productos y las importaciones, nominal;Impuesto sobre los productos y las importaciones, nominal;E04.02.02.01.00.00.00.00.00.A.CRC                                     ;Anual
813;811;               Subvenciones a los productos, nominal;Subvenciones a los productos, nominal;E04.02.02.02.00.00.00.00.00.A.CRC                                     ;Anual
2664;811;               Impuesto sobre los productos y las importaciones, nominal;Impuesto sobre los productos y las importaciones, nominal;E04.02.02.01.00.00.00.00.00.A.PPA                                     ;Anual
2665;811;               Subvenciones a los productos, nominal;Subvenciones a los productos, nominal;E04.02.02.02.00.00.00.00.00.A.PPA                                     ;Anual
2736;811;               Impuesto sobre los productos y las importaciones, nominal;Impuesto sobre los productos y las importaciones, nominal;E04.02.02.01.00.00.00.00.00.A.PVI                                     ;Anual
2738;811;               Subvenciones a los productos, nominal;Subvenciones a los productos, nominal;E04.02.02.02.00.00.00.00.00.A.PVI                                     ;Anual
865;810;          Producto Interno Bruto a precios de mercado, percápita;Producto Interno Bruto a precios de mercado, percápita;E04.02.04.00.00.00.00.00.00.A.CRC                                     ;Anual
2663;810;          Impuestos menos subvenciones sobre los productos, nominal;Impuestos menos subvenciones sobre los productos, nominal;E04.02.02.00.00.00.00.00.00.A.PPA                                     ;Anual
2666;810;          Producto Interno Bruto a precios básicos, nominal;Producto Interno Bruto a precios básicos, nominal;E04.02.03.00.00.00.00.00.00.A.PPA                                     ;Anual
2734;810;          Impuestos menos subvenciones sobre los productos, nominal;Impuestos menos subvenciones sobre los productos, nominal;E04.02.02.00.00.00.00.00.00.A.PVI                                     ;Anual
2739;810;          Producto Interno Bruto a precios básicos, nominal;Producto Interno Bruto a precios básicos, nominal;E04.02.03.00.00.00.00.00.00.A.PVI                                     ;Anual
2779;810;          Producto Interno Bruto y Gasto a precios de mercado, nominal;Producto Interno Bruto y Gasto a precios de mercado, nominal;E04.02.01.00.00.00.00.00.00.A.PVI                                     ;Anual
2780;810;          Producto Interno Bruto y Gasto a precios de mercado, nominal;Producto Interno Bruto y Gasto a precios de mercado, nominal;E04.02.01.00.00.00.00.00.00.A.PPA                                     ;Anual
19463;810;          Producto Interno Bruto a precios de mercado, percápita;Producto Interno Bruto a precios de mercado, percápita;E04.02.05.00.00.00.00.00.00.A.USD                                     ;Anual
814;;          Producto Interno Bruto a precios básicos, nominal;Producto Interno Bruto a precios básicos, nominal;E04.02.03.00.00.00.00.00.00.A.CRC                                     ;Anual
815;814;               Agricultura, silvicultura y pesca, nominal;Agricultura, silvicultura y pesca, nominal;E04.02.03.01.00.00.00.00.00.A.CRC                                     ;Anual
816;814;               Extracción de minas y canteras, nominal;Extracción de minas y canteras, nominal;E04.02.03.02.00.00.00.00.00.A.CRC                                     ;Anual
818;814;               Construcción, nominal;Construcción, nominal;E04.02.03.04.00.00.00.00.00.A.CRC                                     ;Anual
819;814;               Electricidad y agua, nominal;Electricidad y agua, nominal;E04.02.03.05.00.00.00.00.00.A.CRC                                     ;Anual
820;814;               Comercio, restaurantes y hoteles, nominal;Comercio, restaurantes y hoteles, nominal;E04.02.03.06.00.00.00.00.00.A.CRC                                     ;Anual
821;814;               Transporte, almacenaje y comunicaciones, nominal;Transporte, almacenaje y comunicaciones, nominal;E04.02.03.07.00.00.00.00.00.A.CRC                                     ;Anual
822;814;               Servicios financieros y seguros, nominal;Servicios financieros y seguros, nominal;E04.02.03.08.00.00.00.00.00.A.CRC                                     ;Anual
823;814;               Actividades inmobiliarias, nominal;Actividades inmobiliarias, nominal;E04.02.03.09.00.00.00.00.00.A.CRC                                     ;Anual
824;814;               Otros servicios prestados a empresas, nominal;Otros servicios prestados a empresas, nominal;E04.02.03.10.00.00.00.00.00.A.CRC                                     ;Anual
825;814;               Servicios de administración pública, nominal;Servicios de administración pública, nominal;E04.02.03.11.00.00.00.00.00.A.CRC                                     ;Anual
826;814;               Servicios comunales, sociales y personales, nominal;Servicios comunales, sociales y personales, nominal;E04.02.03.12.00.00.00.00.00.A.CRC                                     ;Anual
827;814;               Servicios de intermediación financiera medidos indirectament;Servicios de intermediación financiera medidos indirectamente, nominal;E04.02.03.13.00.00.00.00.00.A.CRC                                     ;Anual
2667;814;               Agricultura, silvicultura y pesca, nominal;Agricultura, silvicultura y pesca, nominal;E04.02.03.01.00.00.00.00.00.A.PPA                                     ;Anual
2668;814;               Extracción de minas y canteras, nominal;Extracción de minas y canteras, nominal;E04.02.03.02.00.00.00.00.00.A.PPA                                     ;Anual
2669;814;               Industria manufacturera, nominal;Industria manufacturera, nominal;E04.02.03.03.00.00.00.00.00.A.PPA                                     ;Anual
2671;814;               Construcción, nominal;Construcción, nominal;E04.02.03.04.00.00.00.00.00.A.PPA                                     ;Anual
2672;814;               Electricidad y agua, nominal;Electricidad y agua, nominal;E04.02.03.05.00.00.00.00.00.A.PPA                                     ;Anual
2673;814;               Comercio, restaurantes y hoteles, nominal;Comercio, restaurantes y hoteles, nominal;E04.02.03.06.00.00.00.00.00.A.PPA                                     ;Anual
2674;814;               Transporte, almacenaje y comunicaciones, nominal;Transporte, almacenaje y comunicaciones, nominal;E04.02.03.07.00.00.00.00.00.A.PPA                                     ;Anual
2675;814;               Servicios financieros y seguros, nominal;Servicios financieros y seguros, nominal;E04.02.03.08.00.00.00.00.00.A.PPA                                     ;Anual
2676;814;               Actividades inmobiliarias, nominal;Actividades inmobiliarias, nominal;E04.02.03.09.00.00.00.00.00.A.PPA                                     ;Anual
2677;814;               Otros servicios prestados a empresas, nominal;Otros servicios prestados a empresas, nominal;E04.02.03.10.00.00.00.00.00.A.PPA                                     ;Anual
2678;814;               Servicios de administración pública, nominal;Servicios de administración pública, nominal;E04.02.03.11.00.00.00.00.00.A.PPA                                     ;Anual
2679;814;               Servicios comunales, sociales y personales, nominal;Servicios comunales, sociales y personales, nominal;E04.02.03.12.00.00.00.00.00.A.PPA                                     ;Anual
2680;814;               Servicios de intermediación financiera medidos indirectament;Servicios de intermediación financiera medidos indirectamente, nominal;E04.02.03.13.00.00.00.00.00.A.PPA                                     ;Anual
2740;814;               Agricultura, silvicultura y pesca, nominal;Agricultura, silvicultura y pesca, nominal;E04.02.03.01.00.00.00.00.00.A.PVI                                     ;Anual
2741;814;               Extracción de minas y canteras, nominal;Extracción de minas y canteras, nominal;E04.02.03.02.00.00.00.00.00.A.PVI                                     ;Anual
2742;814;               Industria manufacturera, nominal;Industria manufacturera, nominal;E04.02.03.03.00.00.00.00.00.A.PVI                                     ;Anual
2743;814;               Construcción, nominal;Construcción, nominal;E04.02.03.04.00.00.00.00.00.A.PVI                                     ;Anual
2744;814;               Electricidad y agua, nominal;Electricidad y agua, nominal;E04.02.03.05.00.00.00.00.00.A.PVI                                     ;Anual
2745;814;               Comercio, restaurantes y hoteles, nominal;Comercio, restaurantes y hoteles, nominal;E04.02.03.06.00.00.00.00.00.A.PVI                                     ;Anual
2746;814;               Transporte, almacenaje y comunicaciones, nominal;Transporte, almacenaje y comunicaciones, nominal;E04.02.03.07.00.00.00.00.00.A.PVI                                     ;Anual
2747;814;               Servicios financieros y seguros, nominal;Servicios financieros y seguros, nominal;E04.02.03.08.00.00.00.00.00.A.PVI                                     ;Anual
2748;814;               Actividades inmobiliarias, nominal;Actividades inmobiliarias, nominal;E04.02.03.09.00.00.00.00.00.A.PVI                                     ;Anual
2749;814;               Otros servicios prestados a empresas, nominal;Otros servicios prestados a empresas, nominal;E04.02.03.10.00.00.00.00.00.A.PVI                                     ;Anual
2750;814;               Servicios de administración pública, nominal;Servicios de administración pública, nominal;E04.02.03.11.00.00.00.00.00.A.PVI                                     ;Anual
2751;814;               Servicios comunales, sociales y personales, nominal;Servicios comunales, sociales y personales, nominal;E04.02.03.12.00.00.00.00.00.A.PVI                                     ;Anual
2752;814;               Servicios de intermediación financiera medidos indirectament;Servicios de intermediación financiera medidos indirectamente, nominal;E04.02.03.13.00.00.00.00.00.A.PVI                                     ;Anual
817;;               Industria manufacturera, nominal;Industria manufacturera, nominal;E04.02.03.03.00.00.00.00.00.A.CRC                                     ;Anual
